 -20 +    0i,  -21 +    0i,    1 +    0i,  -21 +    0i,  -10 +    0i,  -21 +    0i,   11 +    0i,  -21 +    0i,  -15 +    0i,  -21 +    0i,    6 +    0i,  -21 +    0i,   -5 +    0i,  -21 +    0i,   16 +    0i,  -21 +    0i,  -18 +    0i,  -21 +    0i,    3 +    0i,  -21 +    0i,   -7 +    0i,  -21 +    0i,   14 +    0i,  -21 +    0i,  -12 +    0i,  -21 +    0i,    8 +    0i,  -21 +    0i,   -2 +    0i,  -21 +    0i,   19 +    0i,  -21 +    0i,  -19 +    0i,  -21 +    0i,    2 +    0i,  -21 +    0i,   -8 +    0i,  -21 +    0i,   12 +    0i,  -21 +    0i,  -14 +    0i,  -21 +    0i,    7 +    0i,  -21 +    0i,   -3 +    0i,  -21 +    0i,   18 +    0i,  -21 +    0i,  -16 +    0i,  -21 +    0i,    5 +    0i,  -21 +    0i,   -6 +    0i,  -21 +    0i,   15 +    0i,  -21 +    0i,  -11 +    0i,  -21 +    0i,   10 +    0i,  -21 +    0i,   -1 +    0i,  -21 +    0i,   20 +    0i,  -21 +    0i, 
 -20 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,    1 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   -9 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   12 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,  -14 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,    7 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   -4 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   17 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,  -17 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,    4 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   -7 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   14 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,  -12 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,    9 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   -1 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i,   20 +    0i,  -21 +   21i,  -21 +    0i,  -21 +  -21i, 
 -18 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,    3 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,   -8 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,   13 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,  -13 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,    8 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,   -3 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i,   18 +    0i,  -21 +   50i,  -21 +   21i,  -21 +    9i,  -21 +    0i,  -21 +   -9i,  -21 +  -21i,  -21 +  -50i, 
 -16 +    0i,  -21 +  105i,  -21 +   50i,  -21 +   31i,  -21 +   21i,  -21 +   14i,  -21 +    9i,  -21 +    4i,  -21 +    0i,  -21 +   -4i,  -21 +   -9i,  -21 +  -14i,  -21 +  -21i,  -21 +  -31i,  -21 +  -50i,  -21 + -105i,    5 +    0i,  -21 +  105i,  -21 +   50i,  -21 +   31i,  -21 +   21i,  -21 +   14i,  -21 +    9i,  -21 +    4i,  -21 +    0i,  -21 +   -4i,  -21 +   -9i,  -21 +  -14i,  -21 +  -21i,  -21 +  -31i,  -21 +  -50i,  -21 + -105i,   -5 +    0i,  -21 +  105i,  -21 +   50i,  -21 +   31i,  -21 +   21i,  -21 +   14i,  -21 +    9i,  -21 +    4i,  -21 +    0i,  -21 +   -4i,  -21 +   -9i,  -21 +  -14i,  -21 +  -21i,  -21 +  -31i,  -21 +  -50i,  -21 + -105i,   16 +    0i,  -21 +  105i,  -21 +   50i,  -21 +   31i,  -21 +   21i,  -21 +   14i,  -21 +    9i,  -21 +    4i,  -21 +    0i,  -21 +   -4i,  -21 +   -9i,  -21 +  -14i,  -21 +  -21i,  -21 +  -31i,  -21 +  -50i,  -21 + -105i, 
 -10 +    0i,  -21 +  211i,  -21 +  105i,  -21 +   69i,  -21 +   50i,  -21 +   39i,  -21 +   31i,  -21 +   25i,  -21 +   21i,  -21 +   17i,  -21 +   14i,  -21 +   11i,  -21 +    9i,  -21 +    6i,  -21 +    4i,  -21 +    2i,  -21 +    0i,  -21 +   -2i,  -21 +   -4i,  -21 +   -6i,  -21 +   -9i,  -21 +  -11i,  -21 +  -14i,  -21 +  -17i,  -21 +  -21i,  -21 +  -25i,  -21 +  -31i,  -21 +  -39i,  -21 +  -50i,  -21 +  -69i,  -21 + -105i,  -21 + -211i,   10 +    0i,  -21 +  211i,  -21 +  105i,  -21 +   69i,  -21 +   50i,  -21 +   39i,  -21 +   31i,  -21 +   25i,  -21 +   21i,  -21 +   17i,  -21 +   14i,  -21 +   11i,  -21 +    9i,  -21 +    6i,  -21 +    4i,  -21 +    2i,  -21 +    0i,  -21 +   -2i,  -21 +   -4i,  -21 +   -6i,  -21 +   -9i,  -21 +  -11i,  -21 +  -14i,  -21 +  -17i,  -21 +  -21i,  -21 +  -25i,  -21 +  -31i,  -21 +  -39i,  -21 +  -50i,  -21 +  -69i,  -21 + -105i,  -21 + -211i, 
   0 +    0i,  -21 +  423i,  -21 +  211i,  -21 +  140i,  -21 +  105i,  -21 +   83i,  -21 +   69i,  -21 +   58i,  -21 +   50i,  -21 +   44i,  -21 +   39i,  -21 +   35i,  -21 +   31i,  -21 +   28i,  -21 +   25i,  -21 +   23i,  -21 +   21i,  -21 +   19i,  -21 +   17i,  -21 +   15i,  -21 +   14i,  -21 +   12i,  -21 +   11i,  -21 +   10i,  -21 +    9i,  -21 +    7i,  -21 +    6i,  -21 +    5i,  -21 +    4i,  -21 +    3i,  -21 +    2i,  -21 +    1i,  -21 +    0i,  -21 +   -1i,  -21 +   -2i,  -21 +   -3i,  -21 +   -4i,  -21 +   -5i,  -21 +   -6i,  -21 +   -7i,  -21 +   -9i,  -21 +  -10i,  -21 +  -11i,  -21 +  -12i,  -21 +  -14i,  -21 +  -15i,  -21 +  -17i,  -21 +  -19i,  -21 +  -21i,  -21 +  -23i,  -21 +  -25i,  -21 +  -28i,  -21 +  -31i,  -21 +  -35i,  -21 +  -39i,  -21 +  -44i,  -21 +  -50i,  -21 +  -58i,  -21 +  -69i,  -21 +  -83i,  -21 + -105i,  -21 + -140i,  -21 + -211i,  -21 + -423i, 
